Test Plan (ListDriver.java),,
,,
Operation to be tested,Input Values,Expected Output
======================,============,===============
DoubleLinkedList,,
  create one object,,
delete,,
  try to delete from the empty list,Zeroth,
print,,
  print the list,,
insert,,
  add an element,Zeroth,
print,,
  print the list,,Zeroth
delete,,
  delete the single element in the list,Zeroth,
print,,
  print the list,,
insert,,
  add four elements,"First, Second, Third, Fourth",
print,,
  print the list,,"First, Second, Third, Fourth"
insert,,
  attempt to add an element that already exists,Fourth,
print,,
  print the list,,"First, Second, Third, Fourth"
